"ID","O_C_ratio","H_C_ratio","N_C_ratio","KMD","M_kmd_z","Neutral_Mass","DBE"
18488,0.72,1.2,0,0.547,0.045583333,618.1433572,11
18579,0.517241379,1.034482759,0,0.532,0.044333333,618.1584859,15
20459,0.653846154,1.307692308,0,0.51,0.0425,618.1797913,10
20460,0.466666667,1.133333333,0,0.495,0.04125,618.194956,14
20461,0.592592593,1.407407407,0,0.474,0.0395,618.2162537,9
22817,0.419354839,1.225806452,0,0.459,0.03825,618.2313931,13
20462,0.535714286,1.5,0,0.438,0.0365,618.2528227,8
20463,0.375,1.3125,0,0.423,0.03525,618.2678567,12
16801,0.482758621,1.586206897,0,0.401,0.033416667,618.2892751,7
20464,0.333333333,1.393939394,0,0.386,0.032166667,618.3042281,11
3956,0.62962963,0.888888889,0,0.591,0.0591,620.1012498,16
18687,0.571428571,1,0,0.555,0.0555,620.1378639,15
20467,0.517241379,1.103448276,0,0.518,0.0518,620.1741913,14
22818,0.466666667,1.2,0,0.482,0.0482,620.2104649,13
18444,0.592592593,1.481481481,0,0.46,0.046,620.2322381,8
21265,0.419354839,1.290322581,0,0.446,0.0446,620.2467788,12
16577,0.535714286,1.571428571,0,0.424,0.0424,620.2685365,7
20468,0.375,1.375,0,0.409,0.0409,620.2831317,11
19226,0.333333333,1.454545455,0,0.373,0.0373,620.3194443,10
17916,0.62962963,0.962962963,0,0.578,0.07225,622.117009,15
